Attrition_status,department,satisfaction,filed_complaint,projects,recently_promoted,salary,tenure
Employed,admin,5,0,6,0,high,8
Employed,admin,6,0,3,0,low,2
Employed,admin,5,0,4,0,low,3
Employed,admin,10,1,4,0,medium,6
Employed,admin,10,0,4,0,medium,4
Employed,admin,6,1,3,0,low,5
Employed,admin,9,0,4,0,medium,2
Employed,admin,8,0,4,0,low,2
Employed,admin,8,0,4,0,high,3
Employed,admin,6,0,3,0,medium,3
Employed,admin,7,0,3,0,medium,3
Employed,admin,8,0,2,0,medium,6
Employed,admin,6,0,5,1,medium,2
Employed,admin,7,0,4,0,medium,4
Employed,admin,9,0,4,0,low,3
Employed,admin,6,0,5,0,medium,3
Left,admin,7,0,2,0,low,4
Employed,admin,7,1,4,0,medium,2
Employed,admin,9,0,5,0,low,3
Employed,admin,6,0,4,0,low,3
Employed,admin,6,0,4,0,medium,3
Employed,admin,7,0,5,0,medium,3
Employed,admin,7,0,4,0,medium,3
Employed,admin,9,0,4,0,medium,3
Employed,admin,2,0,4,0,medium,4
Employed,admin,7,0,5,0,medium,3
Left,admin,2,0,7,0,low,4
Employed,admin,6,0,5,0,medium,3
Left,admin,5,0,4,0,low,3
Employed,admin,4,0,4,0,low,5
Employed,admin,8,0,3,0,medium,3
Employed,admin,9,1,3,0,low,3
Left,admin,2,1,6,0,low,4
Employed,admin,8,0,5,0,medium,3
Employed,admin,8,0,4,0,medium,3
Employed,admin,9,0,4,0,high,3
Employed,admin,7,0,5,0,high,4
Employed,admin,7,0,4,0,low,3
Employed,admin,9,0,4,0,medium,3
Employed,admin,3,0,6,0,low,6
Employed,admin,4,0,4,0,low,4
Employed,admin,8,0,4,0,medium,2
Employed,admin,6,0,3,0,low,3
Left,admin,1,0,6,0,medium,4
Left,admin,2,0,6,0,low,4
Employed,admin,10,0,5,0,medium,2
Employed,admin,8,0,3,0,low,3
Employed,admin,9,0,3,1,medium,3
Left,admin,9,0,4,0,medium,5
Left,admin,1,0,7,0,medium,4
Employed,admin,6,0,3,0,low,2
Employed,admin,6,0,4,0,low,3
Employed,admin,7,0,3,0,medium,2
Employed,admin,6,0,4,0,low,4
Left,admin,2,0,6,0,low,4
Employed,admin,9,0,4,0,medium,2
Left,admin,3,0,5,0,low,5
Left,admin,9,0,5,0,low,5
Left,admin,9,0,4,0,medium,5
Employed,admin,10,0,5,0,high,3
Employed,admin,8,0,3,0,low,3
Left,admin,1,0,7,0,medium,4
Employed,admin,6,0,3,0,medium,2
Employed,admin,9,0,3,0,low,3
Left,admin,8,0,5,0,low,5
Employed,admin,3,0,5,0,medium,6
Left,admin,2,0,5,0,high,4
Employed,admin,9,0,3,0,medium,2
Left,admin,2,0,5,0,medium,4
Employed,admin,6,0,4,0,low,3
Left,admin,8,0,5,0,medium,5
Left,admin,8,0,5,0,low,5
Employed,admin,10,0,4,1,medium,2
Employed,admin,8,0,3,0,low,4
Employed,admin,3,0,4,0,low,4
Employed,admin,8,0,6,1,low,4
Employed,admin,10,0,4,0,low,3
Employed,admin,7,0,3,0,low,3
Employed,admin,8,0,4,0,medium,2
Employed,admin,9,0,3,0,medium,3
Employed,admin,7,0,4,0,low,4
Left,admin,2,0,7,0,low,4
Left,admin,2,1,7,0,medium,4
Employed,admin,9,0,5,0,medium,3
Employed,admin,7,0,3,0,medium,2
Left,admin,8,0,2,0,low,2
Employed,admin,8,0,4,0,medium,3
Left,admin,10,0,4,0,low,5
Left,admin,9,0,4,0,medium,6
Employed,engineering,4,0,4,0,medium,4
Employed,engineering,9,0,5,0,medium,2
Employed,engineering,5,0,2,0,low,2
Employed,engineering,3,0,6,0,low,3
Employed,engineering,7,0,4,0,medium,5
Employed,engineering,5,0,3,0,low,2
Employed,engineering,8,0,3,0,low,3
Employed,engineering,6,1,5,1,low,6
Employed,engineering,7,1,3,0,low,4
Employed,engineering,10,0,4,0,low,3
Employed,engineering,5,0,3,0,low,6
Employed,engineering,9,0,6,0,medium,3
Employed,engineering,9,0,6,0,low,3
Employed,engineering,5,0,2,0,medium,4
Employed,engineering,3,0,2,0,medium,4
Employed,engineering,10,1,4,0,medium,4
Employed,engineering,3,0,6,0,medium,6
Employed,engineering,8,0,5,0,medium,4
Employed,engineering,4,0,2,0,low,4
Employed,engineering,5,0,2,0,high,3
Employed,engineering,7,0,3,0,medium,6
Employed,engineering,3,0,2,0,low,3
Employed,engineering,6,0,3,0,medium,3
Employed,engineering,5,1,5,1,low,6
Employed,engineering,6,0,5,0,high,4
Employed,engineering,7,0,5,0,medium,8
Employed,engineering,10,0,2,0,medium,6
Employed,engineering,7,0,2,0,medium,2
Employed,engineering,10,0,5,0,low,2
Employed,engineering,5,0,4,0,low,4
Left,engineering,4,0,2,0,low,3
Employed,engineering,4,0,4,0,medium,4
Employed,engineering,7,0,2,0,low,5
Employed,engineering,8,0,5,0,medium,8
Employed,engineering,4,1,3,0,medium,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,4,1,5,0,medium,4
Employed,engineering,5,0,2,0,high,3
Employed,engineering,5,1,5,0,medium,3
Employed,engineering,8,0,3,0,high,3
Employed,engineering,5,0,6,0,high,3
Employed,engineering,5,0,6,0,low,2
Employed,engineering,4,0,3,0,low,3
Employed,engineering,6,0,3,0,low,4
Employed,engineering,7,0,3,0,low,2
Left,engineering,5,0,2,0,medium,3
Left,engineering,3,0,4,0,medium,4
Employed,engineering,6,0,4,0,medium,3
Employed,engineering,3,0,6,0,medium,6
Employed,engineering,10,0,2,0,low,3
Employed,engineering,8,1,5,0,medium,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,6,0,2,0,medium,2
Employed,engineering,4,0,6,0,low,2
Employed,engineering,4,0,5,0,medium,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,5,0,5,0,medium,2
Left,engineering,5,0,2,0,high,3
Left,engineering,5,0,2,0,low,3
Left,engineering,5,0,2,0,medium,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,9,0,5,0,medium,5
Employed,engineering,10,0,5,0,medium,6
Employed,engineering,3,0,4,0,medium,4
Employed,engineering,5,0,2,0,low,3
Employed,engineering,4,0,6,0,low,5
Left,engineering,4,0,2,0,medium,3
Employed,engineering,3,0,4,0,low,4
Left,engineering,5,0,2,0,low,3
Employed,engineering,10,0,6,0,medium,4
Left,engineering,4,0,2,0,low,3
Left,engineering,3,0,2,0,low,3
Employed,engineering,6,0,3,0,high,2
Employed,engineering,10,1,4,0,medium,5
Employed,engineering,6,0,4,0,medium,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,5,0,5,0,medium,5
Employed,engineering,3,1,4,0,high,3
Employed,engineering,4,0,2,0,medium,4
Left,engineering,4,0,2,0,medium,3
Employed,engineering,10,0,6,0,low,2
Employed,engineering,6,0,6,0,medium,3
Employed,engineering,5,0,3,0,low,2
Employed,engineering,3,0,6,0,medium,3
Employed,engineering,10,0,5,0,low,3
Left,engineering,4,0,2,0,low,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,4,0,3,0,medium,3
Left,engineering,6,0,7,0,medium,4
Employed,engineering,8,0,3,0,medium,3
Employed,engineering,6,0,5,0,medium,5
Employed,engineering,6,0,3,0,medium,2
Left,engineering,4,0,2,0,low,3
Employed,engineering,3,0,5,0,medium,6
Left,engineering,4,0,2,0,low,3
Left,engineering,5,0,2,0,low,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,7,0,3,0,medium,2
Employed,engineering,7,0,3,0,medium,4
Employed,engineering,5,1,4,0,medium,4
Left,engineering,5,0,2,0,medium,3
Employed,engineering,8,1,4,0,low,2
Left,engineering,5,0,2,0,low,3
Left,engineering,5,0,2,0,high,3
Left,engineering,4,0,2,0,medium,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,3,0,3,0,low,4
Employed,engineering,5,0,3,0,medium,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,9,0,6,0,medium,4
Employed,engineering,10,0,6,0,low,6
Employed,engineering,3,0,3,0,medium,2
Left,engineering,5,1,2,0,low,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,5,0,3,0,medium,2
Left,engineering,5,0,2,0,medium,3
Left,engineering,6,0,7,0,medium,4
Employed,engineering,7,0,2,0,medium,6
Employed,engineering,6,1,5,0,medium,4
Employed,engineering,7,0,4,0,medium,3
Employed,engineering,8,0,3,0,medium,2
Left,engineering,4,0,2,0,low,3
Left,engineering,4,0,2,0,low,3
Left,engineering,5,0,2,0,medium,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,6,1,5,0,medium,2
Employed,engineering,7,1,4,0,medium,4
Employed,engineering,7,0,4,0,medium,3
Employed,engineering,10,0,3,0,low,6
Left,engineering,4,0,2,0,medium,3
Left,engineering,4,0,2,0,low,3
Left,engineering,4,0,2,0,medium,3
Employed,engineering,2,0,6,0,low,6
Employed,engineering,6,0,6,0,low,6
Employed,engineering,6,0,5,0,low,5
Employed,engineering,4,0,4,0,low,4
Left,engineering,5,0,2,0,low,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,5,0,4,0,high,5
Employed,engineering,6,0,2,0,low,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,5,0,2,0,high,4
Employed,engineering,3,0,4,0,medium,2
Left,engineering,5,1,2,0,low,3
Employed,engineering,3,1,6,0,low,6
Employed,engineering,9,1,4,0,low,3
Employed,engineering,10,0,5,0,low,2
Employed,engineering,5,0,6,0,low,5
Left,engineering,5,0,2,0,low,3
Left,engineering,5,0,2,0,medium,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,9,0,5,0,low,6
Employed,engineering,9,0,3,0,medium,4
Employed,engineering,4,0,2,0,high,3
Employed,engineering,5,0,6,0,high,4
Left,engineering,5,0,2,0,low,3
Employed,engineering,7,0,4,0,low,3
Left,engineering,4,0,2,0,medium,3
Employed,engineering,7,0,4,0,low,5
Employed,engineering,6,0,3,0,medium,4
Left,engineering,5,0,2,0,medium,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,5,0,4,0,medium,4
Employed,engineering,5,0,2,0,low,2
Employed,engineering,9,0,5,0,low,2
Left,engineering,5,0,2,0,medium,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,9,0,4,1,medium,2
Left,engineering,4,0,2,0,medium,3
Left,engineering,5,0,4,0,low,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,6,0,3,0,medium,2
Employed,engineering,6,0,6,0,medium,5
Left,engineering,4,0,2,0,medium,3
Employed,engineering,10,0,5,0,low,3
Left,engineering,5,0,2,0,low,3
Left,engineering,4,0,2,0,medium,3
Employed,engineering,7,0,2,0,medium,3
Employed,engineering,10,1,4,0,low,2
Left,engineering,4,0,2,0,low,3
Left,engineering,5,0,2,0,medium,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,2,0,6,0,low,5
Left,engineering,4,0,2,0,medium,3
Employed,engineering,9,0,2,0,medium,4
Left,engineering,5,0,2,0,medium,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,6,0,5,0,high,3
Left,engineering,5,0,2,0,low,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,10,0,5,0,low,6
Left,engineering,4,0,2,0,medium,3
Employed,engineering,9,0,3,0,medium,4
Employed,engineering,10,0,4,0,low,3
Employed,engineering,5,0,2,0,medium,8
Employed,engineering,10,0,3,0,low,6
Left,engineering,6,0,2,0,medium,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,9,0,3,1,medium,4
Employed,engineering,9,0,3,0,medium,2
Left,engineering,5,0,2,0,low,3
Employed,engineering,8,1,4,0,low,3
Employed,engineering,6,0,3,0,medium,2
Employed,engineering,9,0,3,0,medium,3
Employed,engineering,5,0,6,0,low,5
Employed,engineering,9,1,4,0,low,4
Left,engineering,4,0,2,0,medium,3
Employed,engineering,10,0,3,0,high,3
Employed,engineering,10,0,3,0,medium,10
Employed,engineering,7,0,3,0,medium,2
Left,engineering,5,0,2,0,low,3
Left,engineering,4,0,2,0,low,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,5,0,5,0,medium,5
Employed,engineering,9,0,4,0,low,2
Employed,engineering,10,0,5,0,low,2
Employed,engineering,9,0,3,0,low,4
Left,engineering,5,0,2,0,medium,3
Employed,engineering,9,0,3,0,medium,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,9,0,3,0,low,3
Employed,engineering,6,0,3,0,low,2
Employed,engineering,6,1,4,0,high,3
Employed,engineering,9,0,4,0,low,3
Left,engineering,4,0,2,0,low,3
Left,engineering,4,0,4,0,medium,4
Left,engineering,4,0,2,0,medium,3
Employed,engineering,8,0,5,0,medium,3
Employed,engineering,9,0,4,0,medium,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,9,0,3,0,medium,2
Left,engineering,5,0,2,0,high,3
Left,engineering,4,0,2,0,low,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,7,1,4,0,medium,3
Left,engineering,6,1,2,0,medium,3
Left,engineering,5,0,2,0,low,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,9,0,4,0,medium,3
Left,engineering,5,0,3,0,medium,4
Left,engineering,5,0,2,0,medium,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,6,1,3,0,low,2
Left,engineering,5,0,2,0,low,3
Employed,engineering,9,1,4,0,low,3
Employed,engineering,9,1,4,0,medium,3
Employed,engineering,7,0,2,0,medium,5
Employed,engineering,8,0,4,0,medium,2
Employed,engineering,4,0,2,0,low,2
Employed,engineering,6,0,3,0,low,2
Employed,engineering,9,1,3,0,low,3
Employed,engineering,7,0,3,0,low,3
Employed,engineering,9,0,4,0,low,2
Left,engineering,4,0,2,0,medium,3
Employed,engineering,10,1,3,0,low,2
Employed,engineering,5,1,3,0,medium,2
Employed,engineering,10,1,4,0,low,2
Left,engineering,5,0,2,0,medium,3
Employed,engineering,5,0,2,0,low,3
Employed,engineering,8,0,4,0,low,2
Employed,engineering,7,0,2,0,low,6
Employed,engineering,9,0,4,0,low,2
Left,engineering,6,0,2,0,medium,3
Left,engineering,6,0,7,0,medium,4
Left,engineering,6,0,2,0,low,3
Left,engineering,4,0,2,0,medium,3
Left,engineering,6,0,2,0,medium,3
Left,engineering,8,0,3,0,high,5
Employed,engineering,6,0,5,0,medium,3
Left,engineering,5,0,2,0,low,3
Left,engineering,4,0,2,0,low,3
Left,engineering,4,0,2,0,low,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,4,0,6,0,low,2
Left,engineering,4,0,2,0,medium,3
Left,engineering,5,0,2,0,low,3
Left,engineering,4,0,2,0,medium,3
Employed,engineering,9,1,4,0,low,2
Left,engineering,3,0,4,0,medium,4
Left,engineering,5,0,2,0,high,3
Employed,engineering,7,0,4,0,low,2
Left,engineering,5,0,2,0,low,3
Left,engineering,6,0,2,0,low,3
Left,engineering,4,0,2,0,medium,3
Left,engineering,4,0,2,0,medium,3
Left,engineering,4,0,2,0,medium,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,8,0,5,0,medium,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,8,0,4,0,medium,3
Employed,engineering,2,0,4,0,low,4
Left,engineering,6,0,2,0,low,3
Employed,engineering,7,0,5,0,low,3
Employed,engineering,7,0,3,0,low,2
Employed,engineering,5,0,2,0,medium,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,6,0,2,0,medium,5
Employed,engineering,7,0,5,0,low,4
Employed,engineering,10,0,3,0,medium,10
Left,engineering,5,0,2,0,medium,3
Left,engineering,5,0,4,0,low,3
Employed,engineering,9,0,4,0,low,4
Left,engineering,4,0,2,0,medium,3
Left,engineering,5,0,2,0,low,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,9,0,3,0,low,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,7,0,3,0,low,3
Employed,engineering,9,0,4,0,medium,3
Employed,engineering,8,0,3,0,low,4
Employed,engineering,10,1,2,0,low,6
Employed,engineering,8,1,5,0,medium,2
Employed,engineering,7,0,2,0,low,2
Employed,engineering,5,0,3,0,low,4
Employed,engineering,6,0,4,0,high,3
Employed,engineering,10,0,3,0,medium,4
Left,engineering,5,0,2,0,medium,3
Employed,engineering,5,0,4,0,medium,3
Employed,engineering,6,1,3,0,medium,2
Left,engineering,4,0,2,0,low,3
Employed,engineering,8,0,4,0,medium,2
Employed,engineering,6,0,5,0,medium,3
Employed,engineering,10,0,5,0,medium,3
Employed,engineering,9,1,5,0,medium,2
Employed,engineering,9,1,3,0,medium,4
Employed,engineering,9,1,4,0,low,3
Employed,engineering,10,0,4,0,medium,2
Employed,engineering,7,0,4,0,low,2
Employed,engineering,10,1,2,0,low,5
Employed,engineering,4,1,4,0,low,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,5,0,2,0,medium,3
Employed,engineering,7,1,3,0,low,3
Employed,engineering,6,0,4,0,low,3
Employed,engineering,8,0,3,0,medium,2
Left,engineering,4,0,2,0,medium,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,10,0,6,0,medium,4
Employed,engineering,8,1,3,0,low,3
Left,engineering,5,0,2,0,medium,3
Left,engineering,4,0,2,0,low,3
Left,engineering,4,1,3,0,low,4
Employed,engineering,8,0,4,0,low,3
Employed,engineering,8,0,4,0,low,3
Employed,engineering,8,0,4,0,medium,3
Employed,engineering,6,0,3,0,high,3
Left,engineering,6,0,2,0,low,3
Employed,engineering,8,0,5,0,low,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,6,0,3,0,low,5
Employed,engineering,5,0,2,0,medium,8
Employed,engineering,9,0,4,0,low,4
Left,engineering,5,0,2,0,low,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,7,0,3,0,medium,3
Employed,engineering,10,0,4,0,low,3
Left,engineering,6,0,2,0,low,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,5,0,2,0,medium,4
Left,engineering,4,0,2,0,medium,3
Employed,engineering,9,0,3,0,low,3
Left,engineering,5,0,2,0,high,3
Left,engineering,5,0,2,0,low,3
Left,engineering,5,0,2,0,medium,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,10,1,4,0,medium,4
Left,engineering,7,0,5,0,high,5
Employed,engineering,7,0,4,0,medium,2
Left,engineering,9,0,3,0,high,5
Employed,engineering,9,0,4,0,low,2
Employed,engineering,7,0,4,0,medium,3
Employed,engineering,2,0,5,0,low,4
Left,engineering,4,0,2,0,medium,3
Left,engineering,4,0,2,0,medium,3
Employed,engineering,9,0,4,0,low,2
Employed,engineering,8,0,3,0,medium,3
Left,engineering,6,0,2,0,low,3
Employed,engineering,6,0,5,0,low,3
Employed,engineering,7,1,5,0,medium,3
Left,engineering,4,0,2,0,medium,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,10,0,3,0,medium,2
Employed,engineering,10,0,5,0,medium,3
Employed,engineering,2,0,5,0,medium,5
Employed,engineering,8,0,3,0,high,2
Employed,engineering,7,0,3,0,low,3
Left,engineering,4,0,2,0,medium,3
Employed,engineering,3,0,6,0,medium,3
Employed,engineering,8,1,3,0,medium,7
Left,engineering,5,0,2,0,low,3
Employed,engineering,9,0,3,0,low,4
Employed,engineering,3,0,5,0,low,5
Employed,engineering,6,0,3,0,medium,2
Employed,engineering,8,0,4,0,low,3
Employed,engineering,6,0,5,0,low,2
Employed,engineering,7,0,4,0,low,2
Employed,engineering,6,1,3,0,high,4
Employed,engineering,9,0,5,0,low,6
Employed,engineering,7,0,4,0,medium,3
Employed,engineering,6,0,4,0,medium,2
Employed,engineering,8,0,4,0,medium,4
Employed,engineering,9,0,4,0,low,3
Employed,engineering,7,1,3,0,medium,3
Employed,engineering,10,0,4,0,low,2
Left,engineering,5,0,2,0,medium,3
Employed,engineering,8,0,3,0,low,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,6,0,4,0,low,3
Employed,engineering,7,0,5,0,high,4
Employed,engineering,6,0,4,0,low,2
Employed,engineering,7,0,3,0,low,6
Employed,engineering,6,0,3,0,low,4
Left,engineering,5,0,2,0,low,3
Employed,engineering,5,0,3,0,medium,5
Left,engineering,4,0,2,0,low,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,7,1,5,0,low,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,10,0,3,0,medium,3
Left,engineering,5,0,2,0,medium,3
Left,engineering,5,0,2,0,low,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,9,0,4,0,medium,4
Left,engineering,5,0,2,0,low,3
Employed,engineering,7,0,3,0,low,3
Employed,engineering,7,0,3,0,medium,2
Employed,engineering,8,1,3,0,low,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,6,0,3,0,medium,3
Employed,engineering,7,0,4,0,medium,3
Employed,engineering,9,0,5,0,medium,3
Employed,engineering,8,0,4,0,medium,3
Left,engineering,3,0,7,0,low,3
Employed,engineering,10,0,5,0,low,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,8,0,5,0,low,2
Employed,engineering,9,0,3,0,low,3
Employed,engineering,7,0,5,0,low,3
Employed,engineering,6,0,3,0,medium,2
Employed,engineering,5,0,3,0,medium,3
Employed,engineering,10,0,3,0,medium,5
Employed,engineering,3,0,3,0,low,3
Employed,engineering,8,0,5,0,high,4
Employed,engineering,9,0,5,0,medium,3
Employed,engineering,8,0,4,0,medium,2
Employed,engineering,10,0,4,0,low,3
Employed,engineering,10,0,3,0,medium,2
Employed,engineering,9,1,4,0,low,2
Employed,engineering,2,0,6,0,medium,4
Left,engineering,6,0,2,0,medium,3
Left,engineering,5,0,2,0,high,3
Employed,engineering,7,0,4,0,low,3
Employed,engineering,6,0,5,0,low,3
Left,engineering,4,0,2,0,medium,3
Left,engineering,6,0,2,0,low,3
Employed,engineering,10,0,3,0,low,2
Employed,engineering,6,0,3,0,high,2
Employed,engineering,10,1,3,0,medium,6
Left,engineering,4,0,2,0,low,3
Left,engineering,4,0,2,0,medium,3
Employed,engineering,7,0,2,0,low,4
Employed,engineering,6,0,5,0,high,4
Employed,engineering,6,0,4,0,low,2
Employed,engineering,9,1,3,0,low,4
Employed,engineering,10,0,5,0,low,3
Employed,engineering,10,1,4,0,medium,3
Employed,engineering,3,0,5,0,high,6
Employed,engineering,6,0,5,0,medium,3
Employed,engineering,8,0,4,0,low,6
Left,engineering,5,0,2,0,high,3
Employed,engineering,10,0,4,1,high,3
Employed,engineering,5,0,3,0,low,2
Employed,engineering,6,1,3,0,high,2
Left,engineering,4,0,2,0,medium,3
Employed,engineering,8,0,3,0,medium,2
Employed,engineering,5,0,2,0,medium,2
Employed,engineering,7,0,5,0,medium,3
Employed,engineering,9,0,5,0,medium,4
Employed,engineering,9,1,4,0,low,2
Employed,engineering,9,0,4,0,low,3
Employed,engineering,7,0,4,0,low,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,8,0,3,0,low,3
Left,engineering,5,0,2,0,low,3
Left,engineering,5,0,2,0,medium,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,2,0,6,0,medium,3
Employed,engineering,6,0,4,0,low,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,5,0,5,0,medium,4
Left,engineering,4,0,2,0,low,3
Employed,engineering,2,0,3,0,low,2
Employed,engineering,7,0,3,0,low,2
Employed,engineering,10,0,4,0,low,3
Left,engineering,4,0,7,0,low,3
Employed,engineering,6,0,3,0,high,2
Employed,engineering,7,0,6,0,low,6
Employed,engineering,2,0,6,0,medium,4
Employed,engineering,10,0,4,0,low,3
Employed,engineering,6,0,3,0,low,3
Employed,engineering,6,0,3,0,medium,6
Employed,engineering,5,0,3,0,low,3
Employed,engineering,7,0,4,0,low,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,7,0,3,0,low,4
Employed,engineering,6,0,3,0,high,3
Employed,engineering,8,0,3,0,low,2
Employed,engineering,5,1,4,0,medium,2
Employed,engineering,6,0,4,0,medium,2
Left,engineering,5,1,2,0,low,3
Employed,engineering,9,0,2,0,high,3
Left,engineering,5,0,2,0,medium,3
Employed,engineering,8,0,3,0,medium,2
Employed,engineering,9,0,5,0,low,3
Employed,engineering,3,0,4,0,medium,4
Left,engineering,5,0,2,0,medium,3
Employed,engineering,7,0,4,0,low,4
Employed,engineering,8,0,4,0,medium,3
Employed,engineering,5,0,2,0,low,3
Left,engineering,5,0,2,0,low,3
Employed,engineering,10,0,4,1,medium,2
Left,engineering,5,0,2,0,medium,3
Employed,engineering,7,0,3,0,medium,3
Employed,engineering,7,0,4,0,high,2
Employed,engineering,10,0,2,0,low,3
Left,engineering,5,0,4,0,low,4
Employed,engineering,6,0,5,0,medium,3
Employed,engineering,10,0,3,0,high,4
Employed,engineering,9,0,4,0,medium,5
Left,engineering,4,0,2,0,medium,3
Employed,engineering,6,0,5,0,low,3
Employed,engineering,7,0,4,0,medium,3
Employed,engineering,6,1,3,0,low,4
Employed,engineering,9,0,5,0,medium,2
Employed,engineering,5,0,5,0,medium,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,6,1,3,0,low,3
Left,engineering,4,0,2,0,low,3
Employed,engineering,6,1,4,0,low,4
Employed,engineering,7,1,3,0,medium,3
Employed,engineering,10,0,4,0,medium,4
Left,engineering,6,0,3,0,medium,4
Employed,engineering,8,0,4,0,low,6
Employed,engineering,9,1,5,0,low,3
Employed,engineering,7,0,4,0,low,2
